المرشحون: 172
تمت إضافتهم بعد الفلترة والتحقق: 128
تعذر تحديدهم تلقائيًا: 44
مستبعدون/مكررون: 0

FAILED GEOCODE:
مسار جداريات وسط غلاسكو | City Centre Mural Trail | فن شوارع | غلاسكو
داماسكينو | Damasqino Restaurant & Cafe | مطعم حلال | غلاسكو
مسار لوخ نيس 360 | Loch Ness 360 Trail | مسار | لوخ نيس
أقفال دوخغاروخ | Dochgarroch Locks | قناة وأقفال | إنفرنيس
شاطئ بالناكيل | Balnakeil Beach | شاطئ | الهايلاند
ميناء أولابول | Ullapool Harbour | ميناء | أولابول
إمبير كافيه | Ember Kafe Inverness | مقهى ومطعم حلال | إنفرنيس
فيري غلين | The Fairy Glen Skye | طبيعة | جزيرة سكاي
شاطئ كورال | Coral Beach Skye | شاطئ | جزيرة سكاي
براذرز بوينت | Brother's Point | ساحل وممشى | جزيرة سكاي
ميناء إلجول | Elgol Harbour | ميناء ومطل | جزيرة سكاي
مطل بواخيل إتيف مور | Buachaille Etive Mor Viewpoint | مطل | غلينكو
مطل لوخ أختريوختان | Loch Achtriochtan Viewpoint | مطل | غلينكو
شاطئ لوخ مورليتش | Loch Morlich Beach | بحيرة وشاطئ | أفيمور
غابة روثيميركوس | Rothiemurchus Forest | غابة | أفيمور
مركز لوخ غارتن للطبيعة | RSPB Loch Garten Nature Centre | محمية وطبيعة | أفيمور
مضيق كيليكرانكي | Killiecrankie Gorge | مضيق وممشى | بيتلوتشري
قفزة الجندي | Soldier's Leap Killiecrankie | معلم طبيعي | كيليكرانكي
هايلاند شوكولاتير | The Highland Chocolatier | شوكولاتة ومقهى | غراندتولي
ذا لودج فورست فيزيتور سنتر | The Lodge Forest Visitor Centre | غابة ومركز زوار | أبيرفويل
رصيف سانت أندروز | St Andrews Pier | رصيف | سانت أندروز
ميناء سانت مونانز | St Monans Harbour | ميناء | فايف
مسارات أوبن كلوز دندي | Open Close Dundee | فن شوارع | دندي
وايلد شور دندي | Wildshore Dundee | ترفيه مائي | دندي
النسيج العظيم لاسكتلندا | The Great Tapestry of Scotland | متحف وتجربة ثقافية | غالا شيلز
غالاوي فورست بارك | Galloway Forest Park | غابة ومنتزه | دومفريز وغالاوي
غري ميرز تيل | Grey Mare's Tail Nature Reserve | شلال ومحمية | موفات
قلعة وحدائق دراملانريغ | Drumlanrig Castle and Gardens | قلعة وحدائق | دومفريز وغالاوي
متجر الحداد الشهير في غريتنا غرين | Gretna Green Famous Blacksmiths Shop | معلم تاريخي ومتجر | غريتنا غرين
ويغتاون بلدة الكتب | Wigtown Book Town | بلدة ثقافية | ويغتاون
كيتشن كوز آند يوز | Kitchen Coos and Ewes | مزرعة وتجربة | دومفريز وغالاوي
كيلبورن كاسل إستيت | Kelburn Castle and Estate | قلعة وحدائق | أيرشاير
قلعة وحدائق بروديك | Brodick Castle Garden and Country Park | قلعة ومنتزه | جزيرة أران
دوائر ماتشري مور الحجرية | Machrie Moor Stone Circles | موقع أثري | جزيرة أران
شاطئ كيلدونان | Kildonan Beach Arran | شاطئ | جزيرة أران
وست كيلبرايد بلدة الحرف | West Kilbride Craft Town | بلدة وتسوق | أيرشاير
قلعة ومتحف دونولي | Dunollie Museum Castle and Grounds | قلعة ومتحف | أوبان
ميناء توبرموري | Tobermory Harbour | ميناء | جزيرة مول
خليج كالغاري | Calgary Bay Mull | شاطئ | جزيرة مول
قلعة ومتحف لويس | Lews Castle Museum nan Eilean | قصر ومتحف | جزيرة لويس
مطل سيليبوست | Seilebost Viewpoint | مطل | هاريس
منحدرات يسنابي | Yesnaby Cliffs | ساحل ومطل | أوركني
منحدرات إشانيس | Eshaness Cliffs | ساحل ومطل | شيتلاند
مطل موكل فلوغا | Muckle Flugga Viewpoint | مطل | شيتلاند

FILTERED:

FINAL:
الحدائق المخفية | The Hidden Gardens | حديقة | 55.8400712,-4.2678094 | The Hidden Gardens, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, United Kingdom
شاطئ لوسكنتير | Luskentyre Beach | شاطئ | 57.8769188,-6.9433991 | Tràigh Losgaintir, Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom
قرية غيرانان بلاك هاوس | Gearrannan Blackhouse Village | قرية تراثية | 58.2963356,-6.7917318 | Gearrannan Blackhouse Village, 5a, Upper Carloway, Pàirc Chàrlabhaigh, Na Gearrannan, Càrlabhagh, Na h-Eileanan Siar, Alba / Scotland, HS2 9AL, United Kingdom
بروخ دون كارلواي | Dun Carloway Broch | موقع أثري | 58.2696139,-6.7939714 | Dùn Chàrlabhaigh, Broch, A858, Ciribhig, Càrlabhagh, Na h-Eileanan Siar, Alba / Scotland, HS2 9AA, United Kingdom
بلاك هاوس أرنول | The Blackhouse Arnol | متحف تراثي | 58.3487754,-6.5982640 | The Blackhouse, Arnol, 42, Àrnol, Na h-Eileanan Siar, Alba / Scotland, HS2 9DB, United Kingdom
بات أوف لويس | Butt of Lewis Lighthouse | منارة ومطل | 58.5155864,-6.2609205 | Taigh-solais Rubha Robhanais, B8014, A' Bhuaile a-Muigh, Eòropaidh, Na h-Eileanan Siar, Alba / Scotland, HS2 0XG, United Kingdom
ميناء ستورنوواي | Stornoway Harbour | ميناء | 58.1998961,-6.3765550 | Cala Steòrnabhaigh, Steòrnabhagh, Na h-Eileanan Siar, Alba / Scotland, United Kingdom
شاطئ هوشينيس | Huisinis Beach | شاطئ | 57.9947783,-7.0934317 | Tràigh Hùisinis, Hùisinis, Na h-Eileanan Siar, Alba / Scotland, United Kingdom
سانت كيلدا | St Kilda Scotland | جزيرة وموقع طبيعي | 57.8135482,-8.5801439 | Hiort, Na h-Eileanan Siar, Alba / Scotland, United Kingdom
حلقة برودغار | Ring of Brodgar | موقع أثري | 59.0016482,-3.2298959 | Ring of Brodgar, Clouston, Orkney Islands, Alba / Scotland, United Kingdom
أحجار ستينيس القائمة | Standing Stones of Stenness | موقع أثري | 58.9940331,-3.2080799 | Stones of Stenness, Brodgar Road, Stenness, Orkney Islands, Alba / Scotland, KW16 3JY, United Kingdom
مايشو | Maeshowe | موقع أثري | 58.9965229,-3.1881733 | Maes Howe, Stoneyhill Road, Bimbister, Orkney Islands, Alba / Scotland, KW16 3HQ, United Kingdom
بروخ أوف غيرنيس | Broch of Gurness | موقع أثري | 59.1239032,-3.0816397 | Broch Of Gurness, B9064, Orkney Islands, Alba / Scotland, United Kingdom
برو أوف بيرساي | Brough of Birsay | موقع أثري ساحلي | 59.1360781,-3.3353837 | Brough of Birsay, Birsay, Orkney Islands, Alba / Scotland, United Kingdom
الرجل العجوز في هوي | Old Man of Hoy | صخرة بحرية | 58.8865172,-3.4308336 | Old Man of Hoy, Orkney Islands, Alba / Scotland, United Kingdom
متحف سكابا فلو | Scapa Flow Museum | متحف بحري | 58.8338591,-3.1969179 | Scapa Flow Visitor Centre & Museum, B9048, Lyness, Orkney Islands, Alba / Scotland, KW16 3NT, United Kingdom
متحف سترومنيس | Stromness Museum | متحف | 58.9578515,-3.3012913 | Stromness Museum, 52, Alfred Street, Stromness, Orkney Islands, Alba / Scotland, KW16 3DH, United Kingdom
جارلسهوف | Jarlshof Prehistoric and Norse Settlement | موقع أثري | 59.8692777,-1.2908516 | Jarlshof, Sumburgh, Scatness, Shetland Islands, Alba / Scotland, United Kingdom
منارة سومبورغ هيد | Sumburgh Head Lighthouse | منارة ومطل | 59.8540860,-1.2748822 | Sumburgh Head Lighthouse, Sumburgh Head Lane, Grutness, Scatness, Shetland Islands, Alba / Scotland, ZE3 9JN, United Kingdom
جزيرة سانت نينيان والممر الرملي | St Ninian's Isle | شاطئ وممشى | 59.9739326,-1.3457603 | St Ninian's Isle, Ireland, Bigton, Shetland Islands, Alba / Scotland, United Kingdom
متحف وأرشيف شيتلاند | Shetland Museum and Archives | متحف | 60.1578409,-1.1499193 | Shetland Museum and Archives, Gutters Gaet, Freefield, Lerwick, Shetland Islands, Alba / Scotland, ZE1 0WP, United Kingdom
قلعة سكالاواي | Scalloway Castle | قلعة تاريخية | 60.1355922,-1.2740257 | Scalloway Castle, Castle Street, Upper Scalloway, Scalloway, Shetland Islands, Alba / Scotland, ZE1 0TP, United Kingdom
محمية هيرمانيس | Hermaness National Nature Reserve | محمية ساحلية | 60.8276246,-0.8833556 | Hermaness National Nature Reserve, Shetland Islands, Alba / Scotland, United Kingdom
بروخ كليكمين | Clickimin Broch | موقع أثري | 60.1492291,-1.1657212 | Clickimin Broch, South Road, Sound, Lerwick, Shetland Islands, Alba / Scotland, ZE1 0RY, United Kingdom
شاطئ ميل | Meal Beach Shetland | شاطئ | 60.1011652,-1.3284519 | Meal Beach, Burra and Trondra, Hamnavoe, Shetland Islands, Alba / Scotland, United Kingdom
