Arabic,English,Category,Region,Latitude,Longitude,Source display
متحف ستافين للديناصورات,Staffin Dinosaur Museum,متحف,جزيرة سكاي,57.612269,-6.1778531,"Staffin Dinosaur Museum, A855, Cùl nan Cnoc, Stafainn, Highland, Alba / Scotland, IV51 9JD, United Kingdom"
متحف حياة الجزيرة,Skye Museum of Island Life,متحف,جزيرة سكاي,57.6602158,-6.3689445,"Skye Museum of Island Life, A855, Hungladar, Cille Mhoire, Highland, Alba / Scotland, IV51 9UE, United Kingdom"
شلالات ليلت,Lealt Falls,شلال,جزيرة سكاي,57.5653936,-6.1527298,"Lealt Falls, Highland, Alba / Scotland, United Kingdom"
جسر سليغاشان القديم,Sligachan Old Bridge,جسر ومعلم,جزيرة سكاي,57.2898076,-6.1732737,"The Sligachan old bridge, Sligachan, Highland, Alba / Scotland, IV47 8SW, United Kingdom"
سلم نبتون,Neptune's Staircase,قناة وأقفال,فورت ويليام,56.8455588,-5.0969155,"Neptune's Staircase, B8004, Camaghael, Banavie, Highland, Alba / Scotland, PH33 7LY, United Kingdom"
متحف ويست هايلاند,West Highland Museum,متحف,فورت ويليام,56.8176305,-5.1110458,"West Highland Museum, Cameron Square, The Parade, Plantation, Fort William, Highland, Alba / Scotland, PH33 6AJ, United Kingdom"
شلال ستيل,Steall Waterfall,شلال,فورت ويليام,56.7702419,-4.9798298,"Steall Falls, Highland, Alba / Scotland, United Kingdom"
مركز زوار غلين نيفيس,Glen Nevis Visitor Centre,مركز زوار,فورت ويليام,56.8100616,-5.0769851,"Ben Nevis Visitor Centre, Glen Nevis Road, Achintee, Fort William, Highland, Alba / Scotland, PH33 6PF, United Kingdom"
غلينكو لوخان,Glencoe Lochan,بحيرة وممشى,غلينكو,56.6906905,-5.0958358,"Glencoe Lochan, Glencoe, Highland, Alba / Scotland, United Kingdom"
سيغنال روك,Signal Rock Glencoe,غابة وممشى,غلينكو,56.6649363,-5.0671918,"Tom a' Ghrianain, Glencoe Orbital Path, Highland, Alba / Scotland, United Kingdom"
لوخ آن إيليين,Loch an Eilein,بحيرة وممشى,أفيمور,57.1479823,-3.8194624,"Loch an Eilein, Highland, Alba / Scotland, United Kingdom"
متحف هايلاند الشعبي,Highland Folk Museum,متحف مفتوح,نيوتنمور,57.0686997,-4.1044481,"Highland Folk Museum, Strone Road, Newtonmore, Highland, Alba / Scotland, PH20 1AQ, United Kingdom"
هايلاند وايلد لايف بارك,Highland Wildlife Park,حديقة حيوان,كينغوسي,57.1099026,-3.9758576,"Highland Wildlife Park, Kingussie, Kincraig, Highland, Alba / Scotland, PH21 1NL, United Kingdom"
ثكنات روثفن,Ruthven Barracks,معلم تاريخي,كينغوسي,57.0721532,-4.0391735,"Ruthven Barracks, B970, Kingussie, Highland, Alba / Scotland, United Kingdom"
لاغان وولف تراكس,Laggan Wolftrax,دراجات ومغامرات,لاغان,57.0001317,-4.3175957,"Laggan Wolftrax, A86, Achduchil, Laggan, Highland, Alba / Scotland, PH20 1BU, United Kingdom"
لاند مارك فورست أدفنتشر بارك,Landmark Forest Adventure Park,ملاهي ومغامرات,كاربرج,57.2777048,-3.8131005,"Landmark Forest Adventure Park, B9153, Carrbridge, Highland, Alba / Scotland, PH23 3AS, United Kingdom"
غابة فاسكالي,Faskally Wood,غابة,بيتلوتشري,56.7153999,-3.7651952,"Faskally Forest, Faskally, Pitlochry, Perth and Kinross, Alba / Scotland, United Kingdom"
شلال بلاك سباوت,Black Spout Waterfall Pitlochry,شلال,بيتلوتشري,56.6999295,-3.7105126,"The Black Spout, Pitlochry, Perth and Kinross, Alba / Scotland, PH16 5RB, United Kingdom"
مركز سد بيتلوتشري,Pitlochry Dam Visitor Centre,سد ومركز زوار,بيتلوتشري,56.7001593,-3.7393098,"Pitlochry Dam Visitor Centre, Armoury Road, Pitlochry, Perth and Kinross, Alba / Scotland, PH16 5AP, United Kingdom"
بحيرة فاسكالي,Loch Faskally,بحيرة وممشى,بيتلوتشري,56.7087653,-3.7714797,"Loch Faskally, Faskally, Pitlochry, Perth and Kinross, Alba / Scotland, United Kingdom"
حديقة المستكشفين,Explorers Garden Pitlochry,حديقة,بيتلوتشري,56.6976159,-3.7356903,"Explorers' Garden, Pitlochry, Perth and Kinross, Alba / Scotland, PH16 5DR, United Kingdom"
متحف بيرث,Perth Museum,متحف,بيرث,56.3958693,-3.4293585,"Perth Museum, St John's Place, Bridgend, Perth, Perth and Kinross, Alba / Scotland, PH1 5UT, United Kingdom"
سجن ستيرلنغ القديم,Stirling Old Town Jail,معلم تاريخي,ستيرلنغ,56.119954,-3.9440662,"Stirling Old Town Jail, Back Walk, Lower Town, Old Town, Stirling, Alba / Scotland, FK8 1EH, United Kingdom"
تل دميات,Dumyat,مطل ومسار,ستيرلنغ,56.1574791,-3.876252,"Dumyat, Blairlogie, Stirling, Alba / Scotland, United Kingdom"
غو إيب أبيرفويل,Go Ape Aberfoyle,مغامرات,أبيرفويل,56.1827126,-4.3856721,"Go Ape, A821, Kirkton, Aberfoyle, Stirling, Alba / Scotland, FK8 3SR, United Kingdom"
طريق البحيرات الثلاث,Three Lochs Forest Drive,طريق بانورامي,تروساكس,56.2083103,-4.3605532,"Three Lochs Forest Drive, Stirling, Alba / Scotland, United Kingdom"
ذا باينابل,The Pineapple Dunmore,معلم وحديقة,فالكيرك,56.0766899,-3.7866427,"The Dunmore Pineapple, St Andrew's Drive, South Alloa, Falkirk, Alba / Scotland, FK2 8LP, United Kingdom"
حديقة سانت أندروز النباتية,St Andrews Botanic Garden,حديقة نباتية,سانت أندروز,56.3355176,-2.8063254,"St Andrews Botanic Garden, Town Centre, St Andrews, Fife, Alba / Scotland, KY16 8RT, United Kingdom"
ويست ساندز,West Sands St Andrews,شاطئ,سانت أندروز,56.3587614,-2.8094043,"West Sands, St Andrews, Fife, Alba / Scotland, United Kingdom"
أكواريوم سانت أندروز,St Andrews Aquarium,أكواريوم,سانت أندروز,56.3436647,-2.7998449,"St Andrews Aquarium, The Scores, Town Centre, St Andrews, Fife, Alba / Scotland, KY16 9AS, United Kingdom"
متحف واردلو,Wardlaw Museum,متحف,سانت أندروز,56.3429876,-2.7939691,"Wardlaw Museum, 7, The Scores, Ladyhead, St Andrews, Fife, Alba / Scotland, KY16 9AR, United Kingdom"
متحف عالم الغولف,World Golf Museum,متحف رياضي,سانت أندروز,56.3439392,-2.8015195,"R&A World Golf Museum, Bruce Embankment, Town Centre, St Andrews, Fife, Alba / Scotland, KY16 9JD, United Kingdom"
ميناء كريل,Crail Harbour,ميناء,فايف,56.2579655,-2.627091,"Crail Harbour Gallery and Tearoom, 22, Shoregate, Crail, Fife, Alba / Scotland, KY10 3SU, United Kingdom"
بيتنكريف بارك,Pittencrieff Park,منتزه,دنفرملين,56.0687389,-3.4670416,"Pittencrieff Park, Central Dunfermline, Wellwood, Dunfermline, Fife, Alba / Scotland, United Kingdom"
المتحف الاسكتلندي لمصايد الأسماك,Scottish Fisheries Museum,متحف,أنستروثر,56.2219055,-2.6971428,"Scottish Fisheries Museum, St Ayles Crescent, Anstruther Easter, Anstruther, Fife, Alba / Scotland, KY10 3AB, United Kingdom"
دندي لو,Dundee Law,مطل,دندي,56.4701037,-2.9893945,"Dundee Law, Dundee, Dundee City, Alba / Scotland, DD3 6TN, United Kingdom"
مرصد ميلز,Mills Observatory,مرصد,دندي,56.4649218,-3.0126031,"Mills Observatory, Glamis Road, Sutherland, Balgay, Dundee, Dundee City, Alba / Scotland, DD2 2UB, United Kingdom"
كامبرداون كانتري بارك,Camperdown Country Park,منتزه,دندي,56.485192,-3.0410136,"Camperdown Country Park, Myrekirk, Dundee, Dundee City, Alba / Scotland, DD2 4TF, United Kingdom"
كامبرداون وايلد لايف سنتر,Camperdown Wildlife Centre,حديقة حيوان,دندي,56.4811758,-3.0439959,"Camperdown Wildlife Centre, Coupar Angus Road, Pitalpin, Dryburgh, Dundee, Dundee City, Alba / Scotland, DD2 4TF, United Kingdom"
فيردانت ووركس,Verdant Works,متحف صناعي,دندي,56.4615976,-2.9833511,"Verdant Works Museum, West Henderson's Wynd, Blackness Industrial Area, University of Dundee Campus, Dudhope, Dundee, Dundee City, Alba / Scotland, DD1 5BY, United Kingdom"
شاطئ بروتي فيري,Broughty Ferry Beach,شاطئ,دندي,56.4684092,-2.85034,"Broughty Ferry Beach, East Ferry, Broughty Ferry, Dundee, Dundee City, Alba / Scotland, United Kingdom"
منحدرات أربروث,Arbroath Cliffs,ساحل وممشى,أربروث,56.561157,-2.5574795,"Arbroath Cliffs Car Park, King's Drive, Cliffburn, Arbroath, Angus, Alba / Scotland, DD11 5FF, United Kingdom"
كرومبي كانتري بارك,Crombie Country Park,منتزه وغابة,أنغوس,56.5561319,-2.7801737,"Crombie Country Park, Letham & District, Craigton of Monikie, Angus, Alba / Scotland, United Kingdom"
كوري في,Corrie Fee,وادي ومسار,أنغوس,56.861131,-3.2339987,"Corrie Fee, Angus, Alba / Scotland, United Kingdom"
شاطئ أبردين,Aberdeen Beach,شاطئ,أبردين,57.1586697,-2.0780436,"Aberdeen Beach, Castlehill and Pittodrie, Aberdeen City, Alba / Scotland, United Kingdom"
فوتدي,Footdee Fittie,قرية صيد تاريخية,أبردين,57.1432444,-2.0713123,"Footdee, Castlehill and Pittodrie, Aberdeen City, Alba / Scotland, United Kingdom"
داثي بارك,Duthie Park,حديقة,أبردين,57.1306317,-2.1031544,"Duthie Park, Ferryhill and Ruthrieston, Aberdeen City, Alba / Scotland, AB11 7BH, United Kingdom"
حدائق ديفيد ويلش الشتوية,David Welch Winter Gardens,حديقة نباتية,أبردين,57.1319195,-2.1045074,"The David Welch Winter Garden, Ferryhill, Ferryhill and Ruthrieston, Aberdeen City, Alba / Scotland, AB11 7TH, United Kingdom"
جونستون غاردنز,Johnston Gardens Aberdeen,حديقة,أبردين,57.1361455,-2.1486713,"Johnston Gardens, Craigiebuckler, Craigiebuckler and Seafield, Aberdeen City, Alba / Scotland, United Kingdom"
شارع يونيون,Union Street Aberdeen,شارع وتسوق,أبردين,57.1463381,-2.0999753,"German Döner Kebab, 118, Union Street, Merchant Quarter, City Centre, Aberdeen City, Alba / Scotland, AB10 1JJ, United Kingdom"
بروفوست سكينز هاوس,Provost Skene's House,منزل تاريخي,أبردين,57.1482612,-2.0975907,"Provost Skene's House, Guestrow, City Centre, Aberdeen City, Alba / Scotland, AB10 1AS, United Kingdom"
بطارية توري,Torry Battery,مطل ساحلي,أبردين,57.1416211,-2.0591586,"Torry Battery, Greyhope Road, Balnagask, Torry, Aberdeen City, Alba / Scotland, AB11 8QX, United Kingdom"
غريهوب باي,Greyhope Bay,مطل ساحلي,أبردين,57.1406963,-2.0510549,"Greyhope Bay, Aberdeen City, Alba / Scotland, AB11 8QX, United Kingdom"
شاطئ بالميدي,Balmedie Beach,شاطئ,أبردينشير,57.2519755,-2.0390984,"Balmedie Beach Wheel Chairs, North Beach Road, Balmedie, Aberdeenshire, Alba / Scotland, AB23 8XU, United Kingdom"
شاطئ نيوبرغ للأختام,Newburgh Beach Aberdeenshire,شاطئ وحياة برية,أبردينشير,57.3188269,-1.976992,"Newburgh Seal Beach, Newburgh, Aberdeenshire, Alba / Scotland, United Kingdom"
بيرن أو فات,Burn O'Vat,معلم طبيعي,أبردينشير,57.0838772,-2.9502917,"The Vat, B9119, Milton of Logie, Aberdeenshire, Alba / Scotland, AB34 5NB, United Kingdom"
أبوتسفورد هاوس,Abbotsford House,منزل تاريخي,الحدود الاسكتلندية,55.599508,-2.7821864,"Abbotsford House, Abbotsford, Melrose, Scottish Borders, Alba / Scotland, TD6 9BQ, United Kingdom"
محمية سانت أبس هيد,St Abb's Head National Nature Reserve,محمية ساحلية,الحدود الاسكتلندية,55.9101144,-2.1341711,"St Abb's Head National Nature Reserve, Blackpotts, St Abbs, Scottish Borders, Alba / Scotland, United Kingdom"
مطل سكوت,Scott's View,مطل,الحدود الاسكتلندية,55.6002068,-2.6468925,"Scott's View, Halidean Mill, Redpath, Scottish Borders, Alba / Scotland, United Kingdom"
قلعة فلورز,Floors Castle,قلعة وحدائق,كيلسو,55.6049727,-2.4598261,"Floors Castle, Broadloan, Kelso, Scottish Borders, Alba / Scotland, TD5 7NX, United Kingdom"
بو هيل هاوس,Bowhill House,قصر وحدائق,سيلكيرك,55.5405088,-2.9116787,"Bowhill House, Duchess's Drive, Scottish Borders, Alba / Scotland, TD7 5ET, United Kingdom"
سجن قلعة جيدبرغ,Jedburgh Castle Jail and Museum,متحف تاريخي,جيدبرغ,55.4741459,-2.5587516,"Jedburgh Castle, Castle Gate, Castlewood Farm, Jedburgh, Scottish Borders, Alba / Scotland, TD8 6AS, United Kingdom"
هاريستانز,Harestanes Countryside Visitor Centre,مركز ريفي,الحدود الاسكتلندية,55.5124969,-2.5689423,"Harestanes Countryside Visitor Centre, B6400, Harestanes, Jedburgh, Scottish Borders, Alba / Scotland, TD8 6UQ, United Kingdom"
غلينتريس فورست,Glentress Forest,غابة ودراجات,بيبلز,55.6569364,-3.1820066,"Glentress Forest, Peebles, Scottish Borders, Alba / Scotland, EH45 8FA, United Kingdom"
جسر ليدرفوت,Leaderfoot Viaduct,جسر تاريخي,الحدود الاسكتلندية,55.6041978,-2.6779765,"Leaderfoot Viaduct, Leaderfoot, Redpath, Scottish Borders, Alba / Scotland, TD6 9DQ, United Kingdom"
قلعة كيرلافروك,Caerlaverock Castle,قلعة تاريخية,دومفريز,54.9756512,-3.5241093,"Caerlaverock Castle, B725, Shearington, Dumfries and Galloway, Alba / Scotland, DG1 4RU, United Kingdom"
حديقة لوغان النباتية,Logan Botanic Garden,حديقة نباتية,دومفريز وغالاوي,54.7418345,-4.9594673,"Logan Botanic Gardens, Port Logan, Dumfries and Galloway, Alba / Scotland, United Kingdom"
كراويك ملتيفيرس,Crawick Multiverse,منتزه فني,سانكوهار,55.3822605,-3.932666,"Crawick Multiverse, Crawick, Sanquhar, Dumfries and Galloway, Alba / Scotland, DG4 6EG, United Kingdom"
موات براي,Moat Brae,مركز أدب وقصص,دومفريز,55.0716627,-3.6130673,"Moat Brae - Birthplace of Peter Pan, 101, George Street, Town Centre, Loreburn, Dumfries, Dumfries and Galloway, Alba / Scotland, DG1 1EA, United Kingdom"
منارة مول أوف غالاوي,Mull of Galloway Lighthouse,منارة ومطل,دومفريز وغالاوي,54.6349609,-4.8571391,"Mull of Galloway Lighthouse, Dumfries and Galloway, Alba / Scotland, DG9 9HP, United Kingdom"
ميناء بورتباتريك,Portpatrick Harbour,ميناء,بورتباتريك,54.8424326,-5.1192967,"Portpatrick Harbour, Welsh Place, Portpatrick, Dumfries and Galloway, Alba / Scotland, DG9 8TZ, United Kingdom"
متحف مسقط رأس روبرت برنز,Robert Burns Birthplace Museum,متحف,أير,55.4275229,-4.6345634,"Robert Burns Birthplace Museum, Murdoch's Lone, St Leonards, Alloway, South Ayrshire, Alba / Scotland, KA7 4PQ, United Kingdom"
دين كاسل كانتري بارك,Dean Castle Country Park,قلعة ومنتزه,كيلمارنوك,55.6248579,-4.4786116,"Dean Castle Country Park, New Farm Loch, Kilmarnock, East Ayrshire, Alba / Scotland, United Kingdom"
قلعة دونيور,Dunure Castle,قلعة ساحلية,أيرشاير,55.4050662,-4.7618111,"Dunure Castle, Castle Road, Ayr, South Ayrshire, Alba / Scotland, KA7 4LW, United Kingdom"
هيدز أوف أير فارم بارك,Heads of Ayr Farm Park,مزرعة وترفيه,أير,55.4268538,-4.6908111,"Heads of Ayr Farm Park, A719, Alloway, South Ayrshire, Alba / Scotland, KA7 4LD, United Kingdom"
المتحف البحري الاسكتلندي,Scottish Maritime Museum,متحف بحري,إرفاين,55.6095077,-4.6764356,"Scottish Maritime Museum, Linthouse Vennel, Irvine Harbour, Fullarton, Irvine, North Ayrshire, Alba / Scotland, KA12 8BT, United Kingdom"
شلالات غليناشديل,Glenashdale Falls,شلال,جزيرة أران,55.4790202,-5.1197635,"Glenashdale Falls, Whiting Bay, North Ayrshire, Alba / Scotland, United Kingdom"
أوبان شوكولات كومباني,Oban Chocolate Company,شوكولاتة ومقهى,أوبان,56.4165357,-5.4739273,"Oban Chocolate Company, 34, Corran Esplanade, Town Centre, Oban, Argyll and Bute, Alba / Scotland, PA34 5PS, United Kingdom"
غانافان ساندز,Ganavan Sands,شاطئ,أوبان,56.4389722,-5.4695236,"Ganavan Sands, Ganavan, Oban, Argyll and Bute, Alba / Scotland, United Kingdom"
بولبيت هيل,Pulpit Hill Oban,مطل,أوبان,56.4095085,-5.4817058,"Pulpit Hill, Oban, Argyll and Bute, Alba / Scotland, PA34 4LY, United Kingdom"
مركز كروشان لتوليد الطاقة,Cruachan Visitor Centre,مركز زوار وهندسة,أرغيل,56.3944991,-5.1161809,"Cruachan Power Station Visitor Centre, A85, Lochawe, Argyll and Bute, Alba / Scotland, PA33 1AN, United Kingdom"
حديقة بنمور النباتية,Benmore Botanic Garden,حديقة نباتية,أرغيل,56.0254131,-4.9919643,"Benmore Botanic Garden, Benmore, Argyll and Bute, Alba / Scotland, United Kingdom"
سجن إنفيراري,Inveraray Jail,متحف تاريخي,إنفيراري,56.2298247,-5.0721391,"Inveraray Jail, Church Square, Inveraray, Argyll and Bute, Alba / Scotland, PA32 8TX, United Kingdom"
متحف كيلمارتن,Kilmartin Museum,متحف آثار,أرغيل,56.1333906,-5.4867587,"Kilmartin House Museum, A816, Kilmartin, Argyll and Bute, Alba / Scotland, PA31 8RN, United Kingdom"
كيلمارتن غلين,Kilmartin Glen,موقع أثري,أرغيل,56.1324635,-5.4854917,"Kilmartin Glen, A816, Kilmartin, Argyll and Bute, Alba / Scotland, PA31 8RN, United Kingdom"
أروس بارك,Aros Park,منتزه وغابة,جزيرة مول,55.4307914,-4.6196122,"Aros, 2, Windward Park, St Leonards, Ayr, South Ayrshire, Alba / Scotland, KA7 4UG, United Kingdom"
شاطئ لوسكنتير,Luskentyre Beach,شاطئ,هاريس,57.8769188,-6.9433991,"Tràigh Losgaintir, Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom"
قرية غيرانان بلاك هاوس,Gearrannan Blackhouse Village,قرية تراثية,جزيرة لويس,58.2963356,-6.7917318,"Gearrannan Blackhouse Village, 5a, Upper Carloway, Pàirc Chàrlabhaigh, Na Gearrannan, Càrlabhagh, Na h-Eileanan Siar, Alba / Scotland, HS2 9AL, United Kingdom"
بروخ دون كارلواي,Dun Carloway Broch,موقع أثري,جزيرة لويس,58.2696139,-6.7939714,"Dùn Chàrlabhaigh, Broch, A858, Ciribhig, Càrlabhagh, Na h-Eileanan Siar, Alba / Scotland, HS2 9AA, United Kingdom"
بلاك هاوس أرنول,The Blackhouse Arnol,متحف تراثي,جزيرة لويس,58.3487754,-6.598264,"The Blackhouse, Arnol, 42, Àrnol, Na h-Eileanan Siar, Alba / Scotland, HS2 9DB, United Kingdom"
بات أوف لويس,Butt of Lewis Lighthouse,منارة ومطل,جزيرة لويس,58.5155864,-6.2609205,"Taigh-solais Rubha Robhanais, B8014, A' Bhuaile a-Muigh, Eòropaidh, Na h-Eileanan Siar, Alba / Scotland, HS2 0XG, United Kingdom"
ميناء ستورنوواي,Stornoway Harbour,ميناء,جزيرة لويس,58.1998961,-6.376555,"Cala Steòrnabhaigh, Steòrnabhagh, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
شاطئ هوشينيس,Huisinis Beach,شاطئ,هاريس,57.9947783,-7.0934317,"Tràigh Hùisinis, Hùisinis, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
سانت كيلدا,St Kilda Scotland,جزيرة وموقع طبيعي,هبرديس الخارجية,57.8135482,-8.5801439,"Hiort, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
حلقة برودغار,Ring of Brodgar,موقع أثري,أوركني,59.0016482,-3.2298959,"Ring of Brodgar, Clouston, Orkney Islands, Alba / Scotland, United Kingdom"
أحجار ستينيس القائمة,Standing Stones of Stenness,موقع أثري,أوركني,58.9940331,-3.2080799,"Stones of Stenness, Brodgar Road, Stenness, Orkney Islands, Alba / Scotland, KW16 3JY, United Kingdom"
مايشو,Maeshowe,موقع أثري,أوركني,58.9965229,-3.1881733,"Maes Howe, Stoneyhill Road, Bimbister, Orkney Islands, Alba / Scotland, KW16 3HQ, United Kingdom"
بروخ أوف غيرنيس,Broch of Gurness,موقع أثري,أوركني,59.1239032,-3.0816397,"Broch Of Gurness, B9064, Orkney Islands, Alba / Scotland, United Kingdom"
برو أوف بيرساي,Brough of Birsay,موقع أثري ساحلي,أوركني,59.1360781,-3.3353837,"Brough of Birsay, Birsay, Orkney Islands, Alba / Scotland, United Kingdom"
الرجل العجوز في هوي,Old Man of Hoy,صخرة بحرية,أوركني,58.8865172,-3.4308336,"Old Man of Hoy, Orkney Islands, Alba / Scotland, United Kingdom"
متحف سكابا فلو,Scapa Flow Museum,متحف بحري,أوركني,58.8338591,-3.1969179,"Scapa Flow Visitor Centre & Museum, B9048, Lyness, Orkney Islands, Alba / Scotland, KW16 3NT, United Kingdom"
متحف سترومنيس,Stromness Museum,متحف,أوركني,58.9578515,-3.3012913,"Stromness Museum, 52, Alfred Street, Stromness, Orkney Islands, Alba / Scotland, KW16 3DH, United Kingdom"
جارلسهوف,Jarlshof Prehistoric and Norse Settlement,موقع أثري,شيتلاند,59.8692777,-1.2908516,"Jarlshof, Sumburgh, Scatness, Shetland Islands, Alba / Scotland, United Kingdom"
منارة سومبورغ هيد,Sumburgh Head Lighthouse,منارة ومطل,شيتلاند,59.854086,-1.2748822,"Sumburgh Head Lighthouse, Sumburgh Head Lane, Grutness, Scatness, Shetland Islands, Alba / Scotland, ZE3 9JN, United Kingdom"
جزيرة سانت نينيان والممر الرملي,St Ninian's Isle,شاطئ وممشى,شيتلاند,59.9739326,-1.3457603,"St Ninian's Isle, Ireland, Bigton, Shetland Islands, Alba / Scotland, United Kingdom"
متحف وأرشيف شيتلاند,Shetland Museum and Archives,متحف,شيتلاند,60.1578409,-1.1499193,"Shetland Museum and Archives, Gutters Gaet, Freefield, Lerwick, Shetland Islands, Alba / Scotland, ZE1 0WP, United Kingdom"
قلعة سكالاواي,Scalloway Castle,قلعة تاريخية,شيتلاند,60.1355922,-1.2740257,"Scalloway Castle, Castle Street, Upper Scalloway, Scalloway, Shetland Islands, Alba / Scotland, ZE1 0TP, United Kingdom"
محمية هيرمانيس,Hermaness National Nature Reserve,محمية ساحلية,شيتلاند,60.8276246,-0.8833556,"Hermaness National Nature Reserve, Shetland Islands, Alba / Scotland, United Kingdom"
بروخ كليكمين,Clickimin Broch,موقع أثري,شيتلاند,60.1492291,-1.1657212,"Clickimin Broch, South Road, Sound, Lerwick, Shetland Islands, Alba / Scotland, ZE1 0RY, United Kingdom"
شاطئ ميل,Meal Beach Shetland,شاطئ,شيتلاند,60.1011652,-1.3284519,"Meal Beach, Burra and Trondra, Hamnavoe, Shetland Islands, Alba / Scotland, United Kingdom"
مسار لوخ نيس 360,Loch Ness 360 Trail,مسار,لوخ نيس,57.1412679,-4.6838962,"Loch Ness Highland Resort, Blairconard, Fort Augustus, Highland, Alba / Scotland, PH32 4DY, United Kingdom"
أقفال دوخغاروخ,Dochgarroch Locks,قناة وأقفال,إنفرنيس,57.4330057,-4.3024712,"Dochgarroch Lock, Dochgarroch, Inverness West, Inverness, Highland, Alba / Scotland, United Kingdom"
شاطئ بالناكيل,Balnakeil Beach,شاطئ,الهايلاند,58.5882149,-4.7935879,"Balnakeil Bay, Durness, Highland, Alba / Scotland, United Kingdom"
ميناء أولابول,Ullapool Harbour,ميناء,أولابول,57.8947094,-5.1579512,"Ullapool Ferry Terminal, Shore Street, Morefield, Ullapool, Highland, Alba / Scotland, IV26 2UB, United Kingdom"
إمبير كافيه,Ember Kafe Inverness,مقهى ومطعم حلال,إنفرنيس,55.8739436,-4.2785248,"Ember Cafe, 12, Park Road, North Woodside, Sandyford, Glasgow, Glasgow City, Alba / Scotland, G4 9JD, United Kingdom"
